,AdBody,Area,Date,PostID,SubArea,Time,Title
1636,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
1637,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
1638,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
1639,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
1640,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
1641,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
1642,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
1643,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
1644,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
1645,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
1646,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
1647,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
1648,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
1649,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
1650,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
1651,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
1652,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
1653,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
1654,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
1655,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
1656,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
1657,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
1658,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
1659,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
1660,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
1661,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
1662,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
1663,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
1664,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
1665,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
1666,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
1667,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
1668,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
1669,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
1670,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
1671,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
1672,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
1673,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
1674,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
1675,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
1676,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
1677,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
1678,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
1679,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
